研报编号,证券代码,公司名称,预测机构,预测目标年度,预测每股收益_原文数值,原文单位,研报落款日,较晚公开日期,原文最新总股本_百万股,原件页码,原文预测行
AP202305051586282667,688012.SH,中微公司,国信证券,2023,2.26,元/股,2023-05-04,2023-05-05,,1,每股收益(元) 1.64 1.90 2.26 2.85 3.43
AP202305051586282667,688012.SH,中微公司,国信证券,2024,2.85,元/股,2023-05-04,2023-05-05,,1,每股收益(元) 1.64 1.90 2.26 2.85 3.43
AP202305051586282667,688012.SH,中微公司,国信证券,2025,3.43,元/股,2023-05-04,2023-05-05,,1,每股收益(元) 1.64 1.90 2.26 2.85 3.43
AP202305051586301893,000333.SZ,美的集团,国信证券,2023,4.72,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 4.09 4.22 4.72 5.21 5.60
AP202305051586301893,000333.SZ,美的集团,国信证券,2024,5.21,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 4.09 4.22 4.72 5.21 5.60
AP202305051586301893,000333.SZ,美的集团,国信证券,2025,5.60,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 4.09 4.22 4.72 5.21 5.60
AP202305051586301896,002648.SZ,卫星化学,国信证券,2023,1.33,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202305051586301896,002648.SZ,卫星化学,国信证券,2024,2.17,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202305051586301896,002648.SZ,卫星化学,国信证券,2025,2.55,元/股,2023-05-05,2023-05-05,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202305061586326164,000651.SZ,格力电器,国信证券,2023,4.84,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 3.90 4.35 4.84 5.26 5.68
AP202305061586326164,000651.SZ,格力电器,国信证券,2024,5.26,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 3.90 4.35 4.84 5.26 5.68
AP202305061586326164,000651.SZ,格力电器,国信证券,2025,5.68,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 3.90 4.35 4.84 5.26 5.68
AP202305061586328706,600584.SH,长电科技,国信证券,2023,1.44,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 1.66 1.82 1.44 2.05 2.50
AP202305061586328706,600584.SH,长电科技,国信证券,2024,2.05,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 1.66 1.82 1.44 2.05 2.50
AP202305061586328706,600584.SH,长电科技,国信证券,2025,2.50,元/股,2023-05-05,2023-05-06,,1,每股收益(元) 1.66 1.82 1.44 2.05 2.50
AP202305081586352320,002027.SZ,分众传媒,国信证券,2023,0.33,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 0.42 0.19 0.33 0.40 0.46
AP202305081586352320,002027.SZ,分众传媒,国信证券,2024,0.40,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 0.42 0.19 0.33 0.40 0.46
AP202305081586352320,002027.SZ,分众传媒,国信证券,2025,0.46,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 0.42 0.19 0.33 0.40 0.46
AP202305081586353232,600460.SH,士兰微,国信证券,2023,0.77,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 1.07 0.74 0.77 1.00 1.13
AP202305081586353232,600460.SH,士兰微,国信证券,2024,1.00,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 1.07 0.74 0.77 1.00 1.13
AP202305081586353232,600460.SH,士兰微,国信证券,2025,1.13,元/股,2023-05-07,2023-05-08,,1,每股收益(元) 1.07 0.74 0.77 1.00 1.13
AP202305091586393036,601868.SH,中国能建,国信证券,2023,0.20,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 0.16 0.19 0.20 0.23 0.26
AP202305091586393036,601868.SH,中国能建,国信证券,2024,0.23,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 0.16 0.19 0.20 0.23 0.26
AP202305091586393036,601868.SH,中国能建,国信证券,2025,0.26,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 0.16 0.19 0.20 0.23 0.26
AP202305091586393283,688396.SH,华润微,国信证券,2023,1.98,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 1.86 2.15 1.98 2.30 2.57
AP202305091586393283,688396.SH,华润微,国信证券,2024,2.30,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 1.86 2.15 1.98 2.30 2.57
AP202305091586393283,688396.SH,华润微,国信证券,2025,2.57,元/股,2023-05-08,2023-05-09,,1,每股收益(元) 1.86 2.15 1.98 2.30 2.57
AP202305091586396436,603185.SH,弘元绿能,国信证券,2023,11.44,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 6.22 7.38 11.44 13.88 15.99
AP202305091586396436,603185.SH,弘元绿能,国信证券,2024,13.88,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 6.22 7.38 11.44 13.88 15.99
AP202305091586396436,603185.SH,弘元绿能,国信证券,2025,15.99,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 6.22 7.38 11.44 13.88 15.99
AP202305091586396447,601012.SH,隆基绿能,国信证券,2023,2.53,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 1.68 1.95 2.53 3.15 3.62
AP202305091586396447,601012.SH,隆基绿能,国信证券,2024,3.15,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 1.68 1.95 2.53 3.15 3.62
AP202305091586396447,601012.SH,隆基绿能,国信证券,2025,3.62,元/股,2023-05-09,2023-05-09,,1,每股收益(元) 1.68 1.95 2.53 3.15 3.62
AP202305101586437331,300763.SZ,锦浪科技,国信证券,2023,5.18,元/股,2023-05-09,2023-05-10,,1,每股收益(元) 1.91 2.81 5.18 7.00 7.83
AP202305101586437331,300763.SZ,锦浪科技,国信证券,2024,7.00,元/股,2023-05-09,2023-05-10,,1,每股收益(元) 1.91 2.81 5.18 7.00 7.83
AP202305101586437331,300763.SZ,锦浪科技,国信证券,2025,7.83,元/股,2023-05-09,2023-05-10,,1,每股收益(元) 1.91 2.81 5.18 7.00 7.83
AP202305111586498527,601225.SH,陕西煤业,国信证券,2023,2.98,元/股,2023-05-11,2023-05-11,,1,每股收益(元) 2.18 3.62 2.98 3.03 3.08
AP202305111586498527,601225.SH,陕西煤业,国信证券,2024,3.03,元/股,2023-05-11,2023-05-11,,1,每股收益(元) 2.18 3.62 2.98 3.03 3.08
AP202305111586498527,601225.SH,陕西煤业,国信证券,2025,3.08,元/股,2023-05-11,2023-05-11,,1,每股收益(元) 2.18 3.62 2.98 3.03 3.08
AP202305141586621468,600066.SH,宇通客车,国信证券,2023,0.60,元/股,2023-05-12,2023-05-14,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202305141586621468,600066.SH,宇通客车,国信证券,2024,0.88,元/股,2023-05-12,2023-05-14,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202305141586621468,600066.SH,宇通客车,国信证券,2025,1.07,元/股,2023-05-12,2023-05-14,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202305151586624866,600732.SH,爱旭股份,国信证券,2023,2.58,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.10 1.79 2.58 3.31 4.85
AP202305151586624866,600732.SH,爱旭股份,国信证券,2024,3.31,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.10 1.79 2.58 3.31 4.85
AP202305151586624866,600732.SH,爱旭股份,国信证券,2025,4.85,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.10 1.79 2.58 3.31 4.85
AP202305151586625534,301308.SZ,江波龙,国信证券,2023,0.45,元/股,2023-05-14,2023-05-15,,1,每股收益(元) 2.73 0.18 0.45 1.00 1.40
AP202305151586625534,301308.SZ,江波龙,国信证券,2024,1.00,元/股,2023-05-14,2023-05-15,,1,每股收益(元) 2.73 0.18 0.45 1.00 1.40
AP202305151586625534,301308.SZ,江波龙,国信证券,2025,1.40,元/股,2023-05-14,2023-05-15,,1,每股收益(元) 2.73 0.18 0.45 1.00 1.40
AP202305151586632251,300251.SZ,光线传媒,国信证券,2023,0.25,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.11 -0.24 0.25 0.36 0.43
AP202305151586632251,300251.SZ,光线传媒,国信证券,2024,0.36,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.11 -0.24 0.25 0.36 0.43
AP202305151586632251,300251.SZ,光线传媒,国信证券,2025,0.43,元/股,2023-05-14,2023-05-15,,1,每股收益(元) -0.11 -0.24 0.25 0.36 0.43
AP202305161586675133,603290.SH,斯达半导,国信证券,2023,5.97,元/股,2023-05-15,2023-05-16,,1,每股收益(元) 2.34 4.79 5.97 8.03 10.31
AP202305161586675133,603290.SH,斯达半导,国信证券,2024,8.03,元/股,2023-05-15,2023-05-16,,1,每股收益(元) 2.34 4.79 5.97 8.03 10.31
AP202305161586675133,603290.SH,斯达半导,国信证券,2025,10.31,元/股,2023-05-15,2023-05-16,,1,每股收益(元) 2.34 4.79 5.97 8.03 10.31
AP202305161586677708,601016.SH,节能风电,国信证券,2023,0.30,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.15 0.25 0.30 0.33 0.37
AP202305161586677708,601016.SH,节能风电,国信证券,2024,0.33,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.15 0.25 0.30 0.33 0.37
AP202305161586677708,601016.SH,节能风电,国信证券,2025,0.37,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.15 0.25 0.30 0.33 0.37
AP202305161586680875,601238.SH,广汽集团,国信证券,2023,0.90,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.71 0.77 0.90 0.98 1.20
AP202305161586680875,601238.SH,广汽集团,国信证券,2024,0.98,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.71 0.77 0.90 0.98 1.20
AP202305161586680875,601238.SH,广汽集团,国信证券,2025,1.20,元/股,2023-05-16,2023-05-16,,1,每股收益(元) 0.71 0.77 0.90 0.98 1.20
AP202306051590406710,600989.SH,宝丰能源,国信证券,2023,1.22,元/股,2023-06-04,2023-06-05,,1,每股收益(元) 0.96 0.86 1.22 1.61 2.16
AP202306051590406710,600989.SH,宝丰能源,国信证券,2024,1.61,元/股,2023-06-04,2023-06-05,,1,每股收益(元) 0.96 0.86 1.22 1.61 2.16
AP202306051590406710,600989.SH,宝丰能源,国信证券,2025,2.16,元/股,2023-06-04,2023-06-05,,1,每股收益(元) 0.96 0.86 1.22 1.61 2.16
AP202306061590462131,601618.SH,中国中冶,国信证券,2023,0.52,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.40 0.50 0.52 0.60 0.74
AP202306061590462131,601618.SH,中国中冶,国信证券,2024,0.60,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.40 0.50 0.52 0.60 0.74
AP202306061590462131,601618.SH,中国中冶,国信证券,2025,0.74,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.40 0.50 0.52 0.60 0.74
AP202306061590473473,601669.SH,中国电建,国信证券,2023,0.71,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.56 0.76 0.71 0.87 1.05
AP202306061590473473,601669.SH,中国电建,国信证券,2024,0.87,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.56 0.76 0.71 0.87 1.05
AP202306061590473473,601669.SH,中国电建,国信证券,2025,1.05,元/股,2023-06-06,2023-06-06,,1,每股收益(元) 0.56 0.76 0.71 0.87 1.05
AP202306271591721703,688303.SH,大全能源,国信证券,2023,3.04,元/股,2023-06-21,2023-06-27,,1,每股收益(元) 2.97 8.95 3.04 1.70 2.97
AP202306271591721703,688303.SH,大全能源,国信证券,2024,1.70,元/股,2023-06-21,2023-06-27,,1,每股收益(元) 2.97 8.95 3.04 1.70 2.97
AP202306271591721703,688303.SH,大全能源,国信证券,2025,2.97,元/股,2023-06-21,2023-06-27,,1,每股收益(元) 2.97 8.95 3.04 1.70 2.97
AP202306291591864492,601336.SH,新华保险,国信证券,2023,5.12,元/股,2023-06-29,2023-06-29,,1,摊薄每股收益(元) 4.79 3.15 5.12 8.21 11.66
AP202306291591864492,601336.SH,新华保险,国信证券,2024,8.21,元/股,2023-06-29,2023-06-29,,1,摊薄每股收益(元) 4.79 3.15 5.12 8.21 11.66
AP202306291591864492,601336.SH,新华保险,国信证券,2025,11.66,元/股,2023-06-29,2023-06-29,,1,摊薄每股收益(元) 4.79 3.15 5.12 8.21 11.66
AP202307021591985101,601138.SH,工业富联,国信证券,2023,1.22,元/股,2023-06-30,2023-07-02,,1,每股收益(元) 1.01 1.01 1.22 1.44 1.66
AP202307021591985101,601138.SH,工业富联,国信证券,2024,1.44,元/股,2023-06-30,2023-07-02,,1,每股收益(元) 1.01 1.01 1.22 1.44 1.66
AP202307021591985101,601138.SH,工业富联,国信证券,2025,1.66,元/股,2023-06-30,2023-07-02,,1,每股收益(元) 1.01 1.01 1.22 1.44 1.66
AP202307031591990262,600827.SH,百联股份,国信证券,2023,0.39,元/股,2023-07-02,2023-07-03,,1,每股收益(元) 0.42 0.38 0.39 0.51 0.64
AP202307031591990262,600827.SH,百联股份,国信证券,2024,0.51,元/股,2023-07-02,2023-07-03,,1,每股收益(元) 0.42 0.38 0.39 0.51 0.64
AP202307031591990262,600827.SH,百联股份,国信证券,2025,0.64,元/股,2023-07-02,2023-07-03,,1,每股收益(元) 0.42 0.38 0.39 0.51 0.64
AP202307061592074659,601816.SH,京沪高铁,国信证券,2023,0.25,元/股,2023-07-06,2023-07-06,,1,每股收益(元) 0.10 -0.01 0.25 0.28 0.31
AP202307061592074659,601816.SH,京沪高铁,国信证券,2024,0.28,元/股,2023-07-06,2023-07-06,,1,每股收益(元) 0.10 -0.01 0.25 0.28 0.31
AP202307061592074659,601816.SH,京沪高铁,国信证券,2025,0.31,元/股,2023-07-06,2023-07-06,,1,每股收益(元) 0.10 -0.01 0.25 0.28 0.31
AP202307101592136191,002352.SZ,顺丰控股,国信证券,2023,1.82,元/股,2023-07-10,2023-07-10,,1,每股收益(元) 0.87 1.26 1.82 2.39 2.99
AP202307101592136191,002352.SZ,顺丰控股,国信证券,2024,2.39,元/股,2023-07-10,2023-07-10,,1,每股收益(元) 0.87 1.26 1.82 2.39 2.99
AP202307101592136191,002352.SZ,顺丰控股,国信证券,2025,2.99,元/股,2023-07-10,2023-07-10,,1,每股收益(元) 0.87 1.26 1.82 2.39 2.99
AP202307131592228863,601966.SH,玲珑轮胎,国信证券,2023,0.93,元/股,2023-07-12,2023-07-13,,1,每股收益(元) 0.57 0.20 0.93 1.57 1.90
AP202307131592228863,601966.SH,玲珑轮胎,国信证券,2024,1.57,元/股,2023-07-12,2023-07-13,,1,每股收益(元) 0.57 0.20 0.93 1.57 1.90
AP202307131592228863,601966.SH,玲珑轮胎,国信证券,2025,1.90,元/股,2023-07-12,2023-07-13,,1,每股收益(元) 0.57 0.20 0.93 1.57 1.90
AP202307141592267003,600426.SH,华鲁恒升,国信证券,2023,2.13,元/股,2023-07-13,2023-07-14,,1,每股收益(元) 3.43 2.96 2.13 2.76 3.62
AP202307141592267003,600426.SH,华鲁恒升,国信证券,2024,2.76,元/股,2023-07-13,2023-07-14,,1,每股收益(元) 3.43 2.96 2.13 2.76 3.62
AP202307141592267003,600426.SH,华鲁恒升,国信证券,2025,3.62,元/股,2023-07-13,2023-07-14,,1,每股收益(元) 3.43 2.96 2.13 2.76 3.62
AP202307141592273032,600519.SH,贵州茅台,国信证券,2023,58.94,元/股,2023-07-14,2023-07-14,,1,每股收益(元) 41.76 49.93 58.94 68.79 78.45
AP202307141592273032,600519.SH,贵州茅台,国信证券,2024,68.79,元/股,2023-07-14,2023-07-14,,1,每股收益(元) 41.76 49.93 58.94 68.79 78.45
AP202307141592273032,600519.SH,贵州茅台,国信证券,2025,78.45,元/股,2023-07-14,2023-07-14,,1,每股收益(元) 41.76 49.93 58.94 68.79 78.45
AP202307171592330259,600754.SH,锦江酒店,国信证券,2023,1.29,元/股,2023-07-16,2023-07-17,,1,每股收益(元) 0.09 0.11 1.29 1.88 2.33
AP202307171592330259,600754.SH,锦江酒店,国信证券,2024,1.88,元/股,2023-07-16,2023-07-17,,1,每股收益(元) 0.09 0.11 1.29 1.88 2.33
AP202307171592330259,600754.SH,锦江酒店,国信证券,2025,2.33,元/股,2023-07-16,2023-07-17,,1,每股收益(元) 0.09 0.11 1.29 1.88 2.33
AP202307171592330260,600584.SH,长电科技,国信证券,2023,1.30,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 1.66 1.82 1.30 1.99 2.50
AP202307171592330260,600584.SH,长电科技,国信证券,2024,1.99,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 1.66 1.82 1.30 1.99 2.50
AP202307171592330260,600584.SH,长电科技,国信证券,2025,2.50,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 1.66 1.82 1.30 1.99 2.50
AP202307171592331536,601689.SH,拓普集团,国信证券,2023,2.18,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.92 1.54 2.18 3.00 4.02
AP202307171592331536,601689.SH,拓普集团,国信证券,2024,3.00,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.92 1.54 2.18 3.00 4.02
AP202307171592331536,601689.SH,拓普集团,国信证券,2025,4.02,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.92 1.54 2.18 3.00 4.02
AP202307171592331538,600066.SH,宇通客车,国信证券,2023,0.60,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202307171592331538,600066.SH,宇通客车,国信证券,2024,0.88,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202307171592331538,600066.SH,宇通客车,国信证券,2025,1.07,元/股,2023-07-17,2023-07-17,,1,每股收益(元) 0.27 0.34 0.60 0.88 1.07
AP202307171592333667,600919.SH,江苏银行,国信证券,2023,2.08,元/股,2023-07-17,2023-07-17,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202307171592333667,600919.SH,江苏银行,国信证券,2024,2.41,元/股,2023-07-17,2023-07-17,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202307171592333667,600919.SH,江苏银行,国信证券,2025,2.68,元/股,2023-07-17,2023-07-17,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202307181592388984,002648.SZ,卫星化学,国信证券,2023,1.33,元/股,2023-07-18,2023-07-18,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202307181592388984,002648.SZ,卫星化学,国信证券,2024,2.17,元/股,2023-07-18,2023-07-18,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202307181592388984,002648.SZ,卫星化学,国信证券,2025,2.55,元/股,2023-07-18,2023-07-18,,1,每股收益(元) 3.49 0.91 1.33 2.17 2.55
AP202307191592427040,600030.SH,中信证券,国信证券,2023,1.7,元/股,2023-07-19,2023-07-19,,1,摊薄每股收益(元) 1.8 1.4 1.7 2.0 2.3
AP202307191592427040,600030.SH,中信证券,国信证券,2024,2.0,元/股,2023-07-19,2023-07-19,,1,摊薄每股收益(元) 1.8 1.4 1.7 2.0 2.3
AP202307191592427040,600030.SH,中信证券,国信证券,2025,2.3,元/股,2023-07-19,2023-07-19,,1,摊薄每股收益(元) 1.8 1.4 1.7 2.0 2.3
AP202307201592469138,600460.SH,士兰微,国信证券,2023,0.40,元/股,2023-07-19,2023-07-20,,1,每股收益(元) 1.07 0.74 0.40 0.59 0.71
AP202307201592469138,600460.SH,士兰微,国信证券,2024,0.59,元/股,2023-07-19,2023-07-20,,1,每股收益(元) 1.07 0.74 0.40 0.59 0.71
AP202307201592469138,600460.SH,士兰微,国信证券,2025,0.71,元/股,2023-07-19,2023-07-20,,1,每股收益(元) 1.07 0.74 0.40 0.59 0.71
AP202307251592605388,300628.SZ,亿联网络,国信证券,2023,1.80,元/股,2023-07-24,2023-07-25,,1,每股收益(元) 1.79 2.42 1.80 2.17 2.67
AP202307251592605388,300628.SZ,亿联网络,国信证券,2024,2.17,元/股,2023-07-24,2023-07-25,,1,每股收益(元) 1.79 2.42 1.80 2.17 2.67
AP202307251592605388,300628.SZ,亿联网络,国信证券,2025,2.67,元/股,2023-07-24,2023-07-25,,1,每股收益(元) 1.79 2.42 1.80 2.17 2.67
AP202307251592619903,300751.SZ,迈为股份,国信证券,2023,4.38,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 5.95 4.95 4.38 7.40 10.26
AP202307251592619903,300751.SZ,迈为股份,国信证券,2024,7.40,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 5.95 4.95 4.38 7.40 10.26
AP202307251592619903,300751.SZ,迈为股份,国信证券,2025,10.26,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 5.95 4.95 4.38 7.40 10.26
AP202307251592632309,600809.SH,山西汾酒,国信证券,2023,8.48,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 4.36 6.64 8.48 10.64 12.64
AP202307251592632309,600809.SH,山西汾酒,国信证券,2024,10.64,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 4.36 6.64 8.48 10.64 12.64
AP202307251592632309,600809.SH,山西汾酒,国信证券,2025,12.64,元/股,2023-07-25,2023-07-25,,1,每股收益(元) 4.36 6.64 8.48 10.64 12.64
AP202307261592668611,600011.SH,华能国际,国信证券,2023,0.80,元/股,2023-07-26,2023-07-26,,1,每股收益(元) -0.65 -0.47 0.80 0.90 1.04
AP202307261592668611,600011.SH,华能国际,国信证券,2024,0.90,元/股,2023-07-26,2023-07-26,,1,每股收益(元) -0.65 -0.47 0.80 0.90 1.04
AP202307261592668611,600011.SH,华能国际,国信证券,2025,1.04,元/股,2023-07-26,2023-07-26,,1,每股收益(元) -0.65 -0.47 0.80 0.90 1.04
AP202307271592724489,300033.SZ,同花顺,国信证券,2023,3.79,元/股,2023-07-27,2023-07-27,,1,每股收益(元) 3.56 3.15 3.79 4.77 5.94
AP202307271592724489,300033.SZ,同花顺,国信证券,2024,4.77,元/股,2023-07-27,2023-07-27,,1,每股收益(元) 3.56 3.15 3.79 4.77 5.94
AP202307271592724489,300033.SZ,同花顺,国信证券,2025,5.94,元/股,2023-07-27,2023-07-27,,1,每股收益(元) 3.56 3.15 3.79 4.77 5.94
AP202307281592782411,300750.SZ,宁德时代,国信证券,2023,10.05,元/股,2023-07-27,2023-07-28,,1,每股收益(元) 6.83 12.58 10.05 12.38 15.18
AP202307281592782411,300750.SZ,宁德时代,国信证券,2024,12.38,元/股,2023-07-27,2023-07-28,,1,每股收益(元) 6.83 12.58 10.05 12.38 15.18
AP202307281592782411,300750.SZ,宁德时代,国信证券,2025,15.18,元/股,2023-07-27,2023-07-28,,1,每股收益(元) 6.83 12.58 10.05 12.38 15.18
AP202307281592791074,600309.SH,万华化学,国信证券,2023,5.56,元/股,2023-07-28,2023-07-28,,1,每股收益(元) 7.85 5.17 5.56 7.09 8.69
AP202307281592791074,600309.SH,万华化学,国信证券,2024,7.09,元/股,2023-07-28,2023-07-28,,1,每股收益(元) 7.85 5.17 5.56 7.09 8.69
AP202307281592791074,600309.SH,万华化学,国信证券,2025,8.69,元/股,2023-07-28,2023-07-28,,1,每股收益(元) 7.85 5.17 5.56 7.09 8.69
AP202307311592915412,688005.SH,容百科技,国信证券,2023,2.37,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 2.03 3.00 2.37 3.00 3.86
AP202307311592915412,688005.SH,容百科技,国信证券,2024,3.00,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 2.03 3.00 2.37 3.00 3.86
AP202307311592915412,688005.SH,容百科技,国信证券,2025,3.86,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 2.03 3.00 2.37 3.00 3.86
AP202307311592917392,600633.SH,浙数文化,国信证券,2023,0.68,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 0.41 0.39 0.68 0.70 0.81
AP202307311592917392,600633.SH,浙数文化,国信证券,2024,0.70,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 0.41 0.39 0.68 0.70 0.81
AP202307311592917392,600633.SH,浙数文化,国信证券,2025,0.81,元/股,2023-07-31,2023-07-31,,1,每股收益(元) 0.41 0.39 0.68 0.70 0.81
AP202308011592986165,300033.SZ,同花顺,国信证券,2023,3.76,元/股,2023-07-31,2023-08-01,,1,每股收益(元) 3.56 3.15 3.76 4.82 6.16
AP202308011592986165,300033.SZ,同花顺,国信证券,2024,4.82,元/股,2023-07-31,2023-08-01,,1,每股收益(元) 3.56 3.15 3.76 4.82 6.16
AP202308011592986165,300033.SZ,同花顺,国信证券,2025,6.16,元/股,2023-07-31,2023-08-01,,1,每股收益(元) 3.56 3.15 3.76 4.82 6.16
AP202308011593000252,600489.SH,中金黄金,国信证券,2023,0.61,元/股,2023-08-01,2023-08-01,,1,每股收益(元) 0.35 0.44 0.61 0.68 0.73
AP202308011593000252,600489.SH,中金黄金,国信证券,2024,0.68,元/股,2023-08-01,2023-08-01,,1,每股收益(元) 0.35 0.44 0.61 0.68 0.73
AP202308011593000252,600489.SH,中金黄金,国信证券,2025,0.73,元/股,2023-08-01,2023-08-01,,1,每股收益(元) 0.35 0.44 0.61 0.68 0.73
AP202308021593077641,601168.SH,西部矿业,国信证券,2023,1.50,元/股,2023-08-01,2023-08-02,,1,每股收益(元) 1.23 1.45 1.50 1.74 1.87
AP202308021593077641,601168.SH,西部矿业,国信证券,2024,1.74,元/股,2023-08-01,2023-08-02,,1,每股收益(元) 1.23 1.45 1.50 1.74 1.87
AP202308021593077641,601168.SH,西部矿业,国信证券,2025,1.87,元/股,2023-08-01,2023-08-02,,1,每股收益(元) 1.23 1.45 1.50 1.74 1.87
AP202308021593144295,603259.SH,药明康德,国信证券,2023,3.42,元/股,2023-08-02,2023-08-02,,1,每股收益(元) 1.72 2.98 3.42 4.10 5.34
AP202308021593144295,603259.SH,药明康德,国信证券,2024,4.10,元/股,2023-08-02,2023-08-02,,1,每股收益(元) 1.72 2.98 3.42 4.10 5.34
AP202308021593144295,603259.SH,药明康德,国信证券,2025,5.34,元/股,2023-08-02,2023-08-02,,1,每股收益(元) 1.72 2.98 3.42 4.10 5.34
AP202308031593170961,300442.SZ,润泽科技,国信证券,2023,1.05,元/股,2023-08-02,2023-08-03,,1,每股收益(元) 1.28 1.87 1.05 1.33 2.00
AP202308031593170961,300442.SZ,润泽科技,国信证券,2024,1.33,元/股,2023-08-02,2023-08-03,,1,每股收益(元) 1.28 1.87 1.05 1.33 2.00
AP202308031593170961,300442.SZ,润泽科技,国信证券,2025,2.00,元/股,2023-08-02,2023-08-03,,1,每股收益(元) 1.28 1.87 1.05 1.33 2.00
AP202308031593179554,600919.SH,江苏银行,国信证券,2023,2.08,元/股,2023-08-03,2023-08-03,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202308031593179554,600919.SH,江苏银行,国信证券,2024,2.41,元/股,2023-08-03,2023-08-03,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202308031593179554,600919.SH,江苏银行,国信证券,2025,2.68,元/股,2023-08-03,2023-08-03,,1,摊薄每股收益(元) 1.33 1.72 2.08 2.41 2.68
AP202308041593301543,601600.SH,中国铝业,国信证券,2023,0.45,元/股,2023-08-03,2023-08-04,,1,每股收益(元) 0.30 0.24 0.45 0.53 0.60
AP202308041593301543,601600.SH,中国铝业,国信证券,2024,0.53,元/股,2023-08-03,2023-08-04,,1,每股收益(元) 0.30 0.24 0.45 0.53 0.60
AP202308041593301543,601600.SH,中国铝业,国信证券,2025,0.60,元/股,2023-08-03,2023-08-04,,1,每股收益(元) 0.30 0.24 0.45 0.53 0.60
